Fiscal Year,Plan Name,State,Employee Contribution Rate,Employer Contribution Rate,Normal Cost Rate,Amortization Rate,Total Contribution Rate
2019,"Kansas City, Fire Retirement System.","Missouri",10.73%,30.21%,23.39%,17.54%,40.93%
2020,"Kansas City, Fire Retirement System.","Missouri",10.82%,31.84%,23.32%,19.33%,42.65%
2021,"Kansas City, Fire Retirement System.","Missouri",10.64%,34.82%,23.32%,22.14%,45.46%
2022,"Kansas City, Fire Retirement System.","Missouri",10.60%,38.30%,23.32%,25.59%,48.91%
2023,"Kansas City, Fire Retirement System.","Missouri",10.69%,38.23%,26.35%,22.57%,48.92%
2014,"Kansas City, Police Retirement System.","Missouri",10.61%,23.13%,25.75%,7.99%,33.74%
2015,"Kansas City, Police Retirement System.","Missouri",11.83%,31.47%,29.25%,14.04%,43.29%
2016,"Kansas City, Police Retirement System.","Missouri",11.69%,32.92%,29.82%,14.79%,44.61%
2017,"Kansas City, Police Retirement System.","Missouri",12.97%,34.21%,32.00%,15.18%,47.18%
2018,"Kansas City, Police Retirement System.","Missouri",12.44%,35.05%,27.29%,20.19%,47.48%
2019,"Kansas City, Police Retirement System.","Missouri",12.07%,34.13%,26.89%,19.31%,46.20%
2020,"Kansas City, Police Retirement System.","Missouri",11.97%,35.16%,25.64%,21.49%,47.13%
2021,"Kansas City, Police Retirement System.","Missouri",13.25%,38.37%,26.71%,24.91%,51.62%
2022,"Kansas City, Police Retirement System.","Missouri",12.61%,41.45%,26.45%,27.62%,54.07%
2023,"Kansas City, Police Retirement System.","Missouri",12.66%,43.15%,26.27%,29.54%,55.80%
2014,"Kansas Public Employees' Retirement System","Kansas",5.17%,10.92%,8.91%,7.19%,16.09%
2015,"Kansas Public Employees' Retirement System","Kansas",5.76%,10.41%,8.62%,7.55%,16.17%
2016,"Kansas Public Employees' Retirement System","Kansas",6.34%,27.22%,8.94%,24.62%,33.56%
2017,"Kansas Public Employees' Retirement System","Kansas",6.17%,11.34%,8.50%,9.02%,17.51%
2018,"Kansas Public Employees' Retirement System","Kansas",6.16%,13.01%,8.09%,11.07%,19.17%
2019,"Kansas Public Employees' Retirement System","Kansas",6.10%,15.89%,7.86%,14.13%,21.99%
2020,"Kansas Public Employees' Retirement System","Kansas",6.09%,14.30%,7.85%,12.54%,20.39%
2021,"Kansas Public Employees' Retirement System","Kansas",6.09%,13.35%,8.07%,11.37%,19.44%
2022,"Kansas Public Employees' Retirement System","Kansas",6.15%,27.13%,8.51%,24.76%,33.27%
2023,"Kansas Public Employees' Retirement System","Kansas",6.12%,16.07%,8.57%,13.63%,22.19%
2014,"Kentucky County Employees Retirement System","Kentucky",6.26%,15.97%,9.42%,12.81%,22.23%
2015,"Kentucky County Employees Retirement System","Kentucky",6.76%,14.63%,10.05%,11.34%,21.39%
2016,"Kentucky County Employees Retirement System","Kentucky",6.61%,13.24%,9.35%,10.50%,19.86%
2017,"Kentucky County Employees Retirement System","Kentucky",7.26%,15.48%,8.66%,14.09%,22.75%
2018,"Kentucky County Employees Retirement System","Kentucky",7.34%,16.09%,11.11%,12.32%,23.43%
2019,"Kentucky County Employees Retirement System","Kentucky",7.31%,17.85%,11.15%,14.01%,25.16%
2020,"Kentucky County Employees Retirement System","Kentucky",7.68%,21.30%,12.90%,16.08%,28.99%
2021,"Kentucky County Employees Retirement System","Kentucky",7.55%,21.35%,12.90%,16.00%,28.90%
2022,"Kentucky County Employees Retirement System","Kentucky",7.32%,23.67%,10.91%,20.08%,30.99%
2023,"Kentucky County Employees Retirement System","Kentucky",5.56%,27.32%,10.84%,22.05%,32.89%
2014,"Kentucky Employees Retirement System","Kentucky",6.45%,18.08%,8.80%,15.72%,24.53%
2015,"Kentucky Employees Retirement System","Kentucky",7.04%,32.89%,9.72%,30.21%,39.93%
2016,"Kentucky Employees Retirement System","Kentucky",6.83%,29.99%,8.96%,27.86%,36.82%
2017,"Kentucky Employees Retirement System","Kentucky",6.63%,45.49%,9.26%,42.86%,52.12%
2018,"Kentucky Employees Retirement System","Kentucky",7.39%,44.07%,13.49%,37.97%,51.46%
2019,"Kentucky Employees Retirement System","Kentucky",6.73%,66.25%,12.88%,60.10%,72.98%
2020,"Kentucky Employees Retirement System","Kentucky",7.06%,61.15%,12.46%,55.75%,68.21%
2021,"Kentucky Employees Retirement System","Kentucky",6.83%,74.13%,12.39%,68.56%,80.95%
2022,"Kentucky Employees Retirement System","Kentucky",6.80%,72.52%,11.87%,67.44%,79.31%
2023,"Kentucky Employees Retirement System","Kentucky",5.45%,71.99%,10.17%,67.27%,77.44%
2014,"Kentucky Judicial Retirement Plan","Kentucky",8.51%,32.83%,15.20%,26.14%,41.34%
2015,"Kentucky Judicial Retirement Plan","Kentucky",6.33%,50.33%,16.67%,40.00%,56.67%
2016,"Kentucky Judicial Retirement Plan","Kentucky",5.67%,50.33%,16.00%,40.00%,56.00%
2017,"Kentucky Judicial Retirement Plan","Kentucky",5.43%,43.12%,17.03%,31.52%,48.55%
2018,"Kentucky Judicial Retirement Plan","Kentucky",6.45%,42.65%,13.98%,35.13%,49.10%
2019,"Kentucky Judicial Retirement Plan","Kentucky",5.12%,33.86%,15.35%,23.62%,38.98%
2020,"Kentucky Judicial Retirement Plan","Kentucky",5.86%,33.59%,12.11%,27.34%,39.45%
2021,"Kentucky Judicial Retirement Plan","Kentucky",6.44%,23.05%,12.20%,17.29%,29.49%
2022,"Kentucky Judicial Retirement Plan","Kentucky",8.05%,23.83%,14.43%,17.45%,31.88%
2023,"Kentucky Judicial Retirement Plan","Kentucky",7.22%,18.05%,15.52%,9.75%,25.27%
2014,"Kentucky Legislators Retirement Plan","Kentucky",4.00%,36.00%,20.00%,20.00%,40.00%
2015,"Kentucky Legislators Retirement Plan","Kentucky",4.44%,75.56%,22.22%,57.78%,80.00%
2016,"Kentucky Legislators Retirement Plan","Kentucky",6.67%,75.56%,20.00%,62.22%,82.22%
2017,"Kentucky Legislators Retirement Plan","Kentucky",8.57%,68.57%,20.00%,57.14%,77.14%
2018,"Kentucky Legislators Retirement Plan","Kentucky",5.71%,68.57%,17.14%,57.14%,74.29%
2019,"Kentucky Legislators Retirement Plan","Kentucky",4.00%,0.00%,24.00%,−20.00%,4.00%
2020,"Kentucky Legislators Retirement Plan","Kentucky",4.00%,0.00%,16.00%,−12.00%,4.00%
2021,"Kentucky Legislators Retirement Plan","Kentucky",7.14%,0.00%,11.90%,−4.76%,7.14%
2022,"Kentucky Legislators Retirement Plan","Kentucky",4.76%,0.00%,14.29%,−9.52%,4.76%
2023,"Kentucky Legislators Retirement Plan","Kentucky",4.88%,0.00%,14.63%,−9.76%,4.88%
2014,"Kentucky State Police Retirement System","Kentucky",11.38%,45.45%,16.01%,40.82%,56.83%
2015,"Kentucky State Police Retirement System","Kentucky",11.46%,69.90%,16.82%,64.54%,81.36%
2016,"Kentucky State Police Retirement System","Kentucky",11.27%,55.31%,18.00%,48.59%,66.58%
2017,"Kentucky State Police Retirement System","Kentucky",9.89%,116.97%,15.35%,111.51%,126.86%
2018,"Kentucky State Police Retirement System","Kentucky",10.97%,93.11%,23.62%,80.46%,104.08%
2019,"Kentucky State Police Retirement System","Kentucky",10.22%,121.27%,23.68%,107.81%,131.50%
2020,"Kentucky State Police Retirement System","Kentucky",9.72%,121.28%,26.91%,104.10%,131.01%
2021,"Kentucky State Police Retirement System","Kentucky",9.93%,124.60%,26.17%,108.35%,134.53%
2023,"Kentucky State Police Retirement System","Kentucky",7.99%,88.47%,20.14%,76.33%,96.46%
2014,"Kentucky Teachers' Retirement System","Kentucky",8.86%,16.36%,29.11%,−3.89%,25.22%
2015,"Kentucky Teachers' Retirement System","Kentucky",8.92%,16.20%,29.38%,−4.26%,25.12%
2016,"Kentucky Teachers' Retirement System","Kentucky",9.23%,16.68%,33.06%,−7.15%,25.91%
2017,"Kentucky Teachers' Retirement System","Kentucky",9.18%,31.06%,39.02%,1.22%,40.24%
2018,"Kentucky Teachers' Retirement System","Kentucky",9.23%,30.35%,31.95%,7.63%,39.58%
2019,"Kentucky Teachers' Retirement System","Kentucky",9.18%,32.11%,15.53%,25.77%,41.30%
2020,"Kentucky Teachers' Retirement System","Kentucky",9.10%,31.78%,15.48%,25.39%,40.88%
2021,"Kentucky Teachers' Retirement System","Kentucky",9.01%,31.52%,15.48%,25.05%,40.53%
2022,"Kentucky Teachers' Retirement System","Kentucky",9.21%,43.33%,16.04%,36.50%,52.54%
2023,"Kentucky Teachers' Retirement System","Kentucky",9.22%,28.77%,16.46%,21.54%,38.00%
2014,"Kern County Employees' Retirement Association","California",4.65%,39.67%,22.52%,21.79%,44.31%
2015,"Kern County Employees' Retirement Association","California",5.70%,40.53%,23.54%,22.69%,46.24%
2016,"Kern County Employees' Retirement Association","California",6.19%,43.66%,22.92%,26.94%,49.86%
2017,"Kern County Employees' Retirement Association","California",9.40%,41.04%,22.35%,28.09%,50.44%
2018,"Kern County Employees' Retirement Association","California",9.10%,42.05%,21.40%,29.76%,51.16%
2019,"Kern County Employees' Retirement Association","California",8.66%,39.57%,21.22%,27.01%,48.22%
2020,"Kern County Employees' Retirement Association","California",9.52%,45.07%,20.43%,34.17%,54.59%
2021,"Kern County Employees' Retirement Association","California",8.90%,44.45%,20.42%,32.93%,53.35%
2022,"Kern County Employees' Retirement Association","California",8.90%,46.86%,19.42%,36.34%,55.76%
2023,"Kern County Employees' Retirement Association","California",9.72%,51.72%,19.51%,41.93%,61.44%
2014,"Lexington-Fayette County Policemen's and Firefighters' Retirement Fund","Kentucky",15.38%,43.70%,24.15%,34.93%,59.08%
2015,"Lexington-Fayette County Policemen's and Firefighters' Retirement Fund","Kentucky",15.91%,36.56%,25.25%,27.22%,52.47%
2016,"Lexington-Fayette County Policemen's and Firefighters' Retirement Fund","Kentucky",14.40%,37.55%,23.58%,28.37%,51.94%
2017,"Lexington-Fayette County Policemen's and Firefighters' Retirement Fund","Kentucky",15.25%,40.44%,21.45%,34.24%,55.69%
2018,"Lexington-Fayette County Policemen's and Firefighters' Retirement Fund","Kentucky",14.70%,37.71%,26.38%,26.03%,52.41%
2019,"Lexington-Fayette County Policemen's and Firefighters' Retirement Fund","Kentucky",13.45%,39.33%,25.99%,26.80%,52.79%
2020,"Lexington-Fayette County Policemen's and Firefighters' Retirement Fund","Kentucky",13.98%,41.84%,27.67%,28.16%,55.82%
2021,"Lexington-Fayette County Policemen's and Firefighters' Retirement Fund","Kentucky",14.58%,41.69%,31.38%,24.89%,56.27%
2022,"Lexington-Fayette County Policemen's and Firefighters' Retirement Fund","Kentucky",13.76%,39.60%,25.86%,27.51%,53.37%
2023,"Lexington-Fayette County Policemen's and Firefighters' Retirement Fund","Kentucky",13.76%,39.60%,25.86%,27.51%,53.37%
2014,"Los Angeles City Employees' Retirement System","California",10.75%,18.84%,16.71%,12.88%,29.59%
2015,"Los Angeles City Employees' Retirement System","California",11.03%,20.76%,17.56%,14.23%,31.79%
2016,"Los Angeles City Employees' Retirement System","California",11.00%,23.47%,17.19%,17.28%,34.47%
2017,"Los Angeles City Employees' Retirement System","California",11.24%,22.98%,17.27%,16.95%,34.22%
2018,"Los Angeles City Employees' Retirement System","California",11.22%,21.88%,17.12%,15.97%,33.10%
2019,"Los Angeles City Employees' Retirement System","California",11.25%,22.71%,17.57%,16.38%,33.95%
2020,"Los Angeles City Employees' Retirement System","California",11.44%,24.36%,16.51%,19.28%,35.80%
2021,"Los Angeles City Employees' Retirement System","California",11.07%,24.37%,19.83%,15.62%,35.44%
2022,"Los Angeles City Employees' Retirement System","California",11.22%,27.44%,19.20%,19.45%,38.66%
2023,"Los Angeles City Employees' Retirement System","California",11.18%,29.01%,17.87%,22.32%,40.19%
2014,"Los Angeles City Fire and Police Pension System","California",8.87%,31.42%,26.24%,14.05%,40.29%
2015,"Los Angeles City Fire and Police Pension System","California",9.63%,36.47%,28.00%,18.10%,46.10%
2016,"Los Angeles City Fire and Police Pension System","California",9.60%,35.39%,27.07%,17.91%,44.99%
2017,"Los Angeles City Fire and Police Pension System","California",9.23%,32.51%,26.31%,15.43%,41.74%
2018,"Los Angeles City Fire and Police Pension System","California",9.99%,31.66%,26.91%,14.74%,41.65%
2019,"Los Angeles City Fire and Police Pension System","California",9.93%,33.93%,27.06%,16.80%,43.86%
2020,"Los Angeles City Fire and Police Pension System","California",10.19%,34.22%,27.20%,17.21%,44.41%
2021,"Los Angeles City Fire and Police Pension System","California",9.84%,33.92%,28.40%,15.36%,43.76%
2022,"Los Angeles City Fire and Police Pension System","California",9.34%,33.49%,28.55%,14.28%,42.83%
2023,"Los Angeles City Fire and Police Pension System","California",9.45%,29.96%,28.12%,11.29%,39.41%
2014,"Los Angeles County Employees Retirement Association","California",7.16%,19.21%,15.13%,11.23%,26.37%
2015,"Los Angeles County Employees Retirement Association","California",6.32%,19.18%,13.49%,12.01%,25.50%
2016,"Los Angeles County Employees Retirement Association","California",6.84%,19.28%,14.69%,11.44%,26.13%
2017,"Los Angeles County Employees Retirement Association","California",6.90%,17.43%,14.49%,9.84%,24.33%
2018,"Los Angeles County Employees Retirement Association","California",7.43%,19.16%,15.33%,11.26%,26.59%
2019,"Los Angeles County Employees Retirement Association","California",7.59%,19.93%,14.81%,12.71%,27.52%
2020,"Los Angeles County Employees Retirement Association","California",7.56%,20.63%,14.92%,13.27%,28.19%
2021,"Los Angeles County Employees Retirement Association","California",8.40%,22.21%,16.55%,14.06%,30.61%
2022,"Los Angeles County Employees Retirement Association","California",8.34%,24.17%,17.40%,15.11%,32.51%
2023,"Los Angeles County Employees Retirement Association","California",8.42%,24.42%,17.35%,15.49%,32.84%
2014,"Los Angeles Water and Power Employees' Retirement Plan","California",8.03%,43.23%,21.51%,29.75%,51.26%
2015,"Los Angeles Water and Power Employees' Retirement Plan","California",8.17%,45.55%,25.59%,28.13%,53.72%
2016,"Los Angeles Water and Power Employees' Retirement Plan","California",8.71%,42.73%,24.35%,27.09%,51.44%
2017,"Los Angeles Water and Power Employees' Retirement Plan","California",9.33%,44.57%,24.35%,29.55%,53.90%
2018,"Los Angeles Water and Power Employees' Retirement Plan","California",9.82%,46.07%,23.97%,31.91%,55.89%
2019,"Los Angeles Water and Power Employees' Retirement Plan","California",10.19%,40.48%,23.66%,27.00%,50.66%
2020,"Los Angeles Water and Power Employees' Retirement Plan","California",10.65%,37.84%,23.31%,25.17%,48.49%
2021,"Los Angeles Water and Power Employees' Retirement Plan","California",10.90%,34.32%,24.54%,20.68%,45.23%
2022,"Los Angeles Water and Power Employees' Retirement Plan","California",11.13%,27.62%,23.53%,15.21%,38.75%
2023,"Los Angeles Water and Power Employees' Retirement Plan","California",11.49%,29.26%,25.63%,15.12%,40.75%
2014,"Louisiana Clerks of Court Retirement and Relief Fund","Louisiana",7.61%,29.27%,15.68%,21.20%,36.88%
2015,"Louisiana Clerks of Court Retirement and Relief Fund","Louisiana",7.62%,30.33%,16.47%,21.48%,37.95%
2016,"Louisiana Clerks of Court Retirement and Relief Fund","Louisiana",7.58%,30.50%,15.99%,22.09%,38.09%
2017,"Louisiana Clerks of Court Retirement and Relief Fund","Louisiana",7.54%,30.86%,15.88%,22.52%,38.40%
2018,"Louisiana Clerks of Court Retirement and Relief Fund","Louisiana",7.39%,30.81%,15.15%,23.05%,38.20%
2019,"Louisiana Clerks of Court Retirement and Relief Fund","Louisiana",7.37%,30.30%,15.51%,22.16%,37.67%
2020,"Louisiana Clerks of Court Retirement and Relief Fund","Louisiana",7.40%,30.66%,15.56%,22.50%,38.06%
2021,"Louisiana Clerks of Court Retirement and Relief Fund","Louisiana",7.56%,32.91%,15.90%,24.57%,40.47%
2022,"Louisiana Clerks of Court Retirement and Relief Fund","Louisiana",7.44%,34.07%,16.84%,24.67%,41.51%
2023,"Louisiana Clerks of Court Retirement and Relief Fund","Louisiana",7.54%,34.15%,16.20%,25.50%,41.70%
2014,"Louisiana District Attorneys Retirement System","Louisiana",8.11%,23.81%,18.80%,13.12%,31.92%
2015,"Louisiana District Attorneys Retirement System","Louisiana",7.00%,22.34%,19.64%,9.70%,29.34%
2016,"Louisiana District Attorneys Retirement System","Louisiana",3.50%,22.23%,18.61%,7.12%,25.73%
2017,"Louisiana District Attorneys Retirement System","Louisiana",0.00%,21.52%,19.15%,2.37%,21.52%
2018,"Louisiana District Attorneys Retirement System","Louisiana",8.00%,14.06%,19.63%,2.42%,22.06%
2019,"Louisiana District Attorneys Retirement System","Louisiana",7.94%,16.38%,20.86%,3.46%,24.32%
2020,"Louisiana District Attorneys Retirement System","Louisiana",8.01%,19.88%,20.85%,7.04%,27.89%
2021,"Louisiana District Attorneys Retirement System","Louisiana",8.00%,20.43%,20.06%,8.38%,28.43%
2022,"Louisiana District Attorneys Retirement System","Louisiana",8.01%,25.45%,20.17%,13.29%,33.46%
2023,"Louisiana District Attorneys Retirement System","Louisiana",8.00%,25.62%,20.40%,13.23%,33.63%
2014,"Louisiana Firefighters Retirement System","Louisiana",10.01%,39.42%,24.15%,25.28%,49.43%
2015,"Louisiana Firefighters Retirement System","Louisiana",10.00%,40.49%,23.72%,26.78%,50.49%
2016,"Louisiana Firefighters Retirement System","Louisiana",10.00%,38.24%,21.74%,26.50%,48.24%
2017,"Louisiana Firefighters Retirement System","Louisiana",10.00%,36.07%,22.25%,23.81%,46.07%
2018,"Louisiana Firefighters Retirement System","Louisiana",10.00%,37.38%,23.07%,24.30%,47.37%
2019,"Louisiana Firefighters Retirement System","Louisiana",10.00%,37.56%,23.59%,23.98%,47.57%
2020,"Louisiana Firefighters Retirement System","Louisiana",10.00%,38.97%,23.36%,25.61%,48.97%
2021,"Louisiana Firefighters Retirement System","Louisiana",10.00%,43.61%,24.68%,28.93%,53.61%
2022,"Louisiana Firefighters Retirement System","Louisiana",10.00%,44.77%,25.02%,29.75%,54.77%
2023,"Louisiana Firefighters Retirement System","Louisiana",10.01%,44.13%,24.40%,29.75%,54.14%
2014,"Louisiana Municipal Employees","Louisiana",7.63%,19.28%,12.17%,14.74%,26.91%
2015,"Louisiana Municipal Employees","Louisiana",7.69%,20.26%,11.91%,16.04%,27.95%
2016,"Louisiana Municipal Employees","Louisiana",7.72%,20.14%,11.69%,16.18%,27.86%
2017,"Louisiana Municipal Employees","Louisiana",7.73%,22.71%,11.81%,18.63%,30.44%
2018,"Louisiana Municipal Employees","Louisiana",7.73%,24.82%,12.22%,20.32%,32.55%
2019,"Louisiana Municipal Employees","Louisiana",7.71%,25.96%,12.17%,21.50%,33.67%
2020,"Louisiana Municipal Employees","Louisiana",7.72%,27.30%,11.32%,23.69%,35.02%
2021,"Louisiana Municipal Employees","Louisiana",6.13%,22.81%,8.97%,19.97%,28.93%
2022,"Louisiana Municipal Employees","Louisiana",4.48%,16.54%,6.46%,14.55%,21.02%
2023,"Louisiana Municipal Employees","Louisiana",8.09%,29.13%,11.30%,25.92%,37.22%
2014,"Louisiana Municipal Police Retirement System","Louisiana",9.78%,37.29%,16.68%,30.39%,47.07%
2015,"Louisiana Municipal Police Retirement System","Louisiana",9.76%,38.14%,16.08%,31.82%,47.90%
2016,"Louisiana Municipal Police Retirement System","Louisiana",9.74%,36.17%,17.43%,28.48%,45.91%
2017,"Louisiana Municipal Police Retirement System","Louisiana",9.78%,38.18%,17.05%,30.90%,47.95%
2018,"Louisiana Municipal Police Retirement System","Louisiana",9.73%,37.43%,18.43%,28.73%,47.16%
2019,"Louisiana Municipal Police Retirement System","Louisiana",9.73%,38.84%,17.81%,30.76%,48.57%
2020,"Louisiana Municipal Police Retirement System","Louisiana",9.78%,39.54%,18.70%,30.62%,49.32%
2021,"Louisiana Municipal Police Retirement System","Louisiana",9.70%,41.15%,19.08%,31.77%,50.85%
2022,"Louisiana Municipal Police Retirement System","Louisiana",9.61%,37.05%,19.12%,27.54%,46.65%
2023,"Louisiana Municipal Police Retirement System","Louisiana",9.43%,38.05%,17.30%,30.18%,47.48%
2014,"Louisiana Parochial Employee Retirement System","Louisiana",8.11%,16.44%,14.95%,9.60%,24.55%
2015,"Louisiana Parochial Employee Retirement System","Louisiana",8.06%,15.08%,14.95%,8.19%,23.14%
2016,"Louisiana Parochial Employee Retirement System","Louisiana",8.11%,13.52%,14.86%,6.78%,21.64%
